tweet,label,processed
"warung ini dimiliki oleh pengusaha pabrik tahu yang sudah puluhan tahun terkenal membuat tahu putih di bandung . tahu berkualitas , dipadu keahlian memasak , dipadu kretivitas , jadilah warung yang menyajikan menu utama berbahan tahu , ditambah menu umum lain seperti ayam . semuanya selera indonesia . harga cukup terjangkau . jangan lewatkan tahu bletoka nya , tidak kalah dengan yang asli dari tegal !",positive,"['warung', 'dimiliki', 'pengusaha', 'pabrik', 'puluhan', 'tahun-tahun', 'terkenal', 'putih', 'bandung', 'berkualitas', 'dipadu', 'keahlian', 'memasak', 'dipadu', 'kretivitas', 'warung', 'menyajikan', 'menu', 'utama', 'berbahan', 'ditambah', 'menu', 'ayam', 'selera', 'indonesia', 'harga', 'terjangkau', 'jangan-jangan', 'lewatkan', 'bletoka', 'tidak', 'kalah', 'asli', 'tegal']"
mohon ulama lurus dan k212 mmbri hujjah partai apa yang harus diwlh agar suara islam tidak pecah-pecah,neutral,"['mohon', 'ulama', 'lurus', 'mmbri', 'hujjah', 'partai', 'apa-apa', 'diwlh', 'suara', 'islam', 'tidak', 'pecahpecah']"
"lokasi strategis di jalan sumatera bandung . tempat nya nyaman terutama sofa di lantai 2 . paella nya enak , sangat pas dimakan dengan minum bir dingin . appetiser nya juga enak-enak .",positive,"['lokasi', 'strategis', 'jalan', 'sumatera', 'bandung', 'nyaman', 'sofa', 'lantai', 'paella', 'enak', 'pas', 'dimakan', 'minum', 'bir', 'dingin-dingin', 'appetiser', 'enakenak']"
betapa bahagia nya diri ini saat unboxing paket dan barang nya bagus ! menetapkan beli lagi !,positive,"['betapa', 'bahagia', 'unboxing', 'paket', 'barang', 'bagus', 'menetapkan', 'beli']"
"duh . jadi mahasiswa jangan sombong dong . kasih kartu kuning segala . belajar dulu yang baik , tidak usahlah ikut-ikut politik . nanti sudah selesai kuliah nya mau ikut politik juga tidak telat . dasar mahasiswa .",negative,"['duh', 'mahasiswa', 'jangan-jangan', 'sombong', 'kasih', 'kartu', 'kuning', 'belajar', 'tidak', 'usahlah', 'ikutikut', 'politik', 'selesai', 'kuliah', 'politik', 'tidak', 'telat', 'dasar', 'mahasiswa']"
"makanan beragam , harga makanan di food stall akan ditambahkan 10 % lagi di kasir , suasana ramai dan perlu perhatian untuk mendapatkan parkir dan tempat duduk .",positive,"['makanan', 'beragam', 'harga', 'makanan', 'food', 'stall', 'kasir', 'suasana', 'ramai', 'perhatian', 'parkir', 'duduk']"
pakai kartu kredit bca tidak untung malah rugi besar,negative,"['pakai', 'kartu', 'kredit', 'baca', 'tidak', 'untung', 'rugi', 'besar-besar']"
"tempat unik , bagus buat foto , makanan enak , pegawai ramah , bersih dan luas , wifi kencang . harga standar dan sesuai dengan tempat nya . ada menu masakan makanan barat dan indonesia . menu favorit lychee mojito dan spagheti",positive,"['unik', 'bagus', 'foto-foto', 'makanan', 'enak', 'pegawai', 'ramah', 'bersih', 'luas', 'wifi', 'kencang', 'harga', 'standar', 'sesuai', 'menu', 'masakan', 'makanan', 'barat', 'indonesia', 'menu', 'favorit', 'lychee', 'mojito', 'spagheti']"
"saya bersama keluarga baru saja menikmati pengalaman kuliner yang menyenangkan di rm sari sunda di jalan . setiabudhi , bandung . tapi , karena tidak ada hubungan untuk rm sari sunda di jalan . setiabudhi , maka saya tuliskan di sini . jadi , maaf jika rekan-rekan pembaca ada yang bingung . beberapa hal yang saya suka dari restoran ini adalah bahwa pelayanan restoran ini terbilang cepat .",positive,"['keluarga', 'menikmati', 'pengalaman', 'kuliner', 'menyenangkan', 'rm', 'sari', 'sunda', 'jalan', 'setiabudhi', 'bandung', 'tidak', 'hubungan', 'rm', 'sari', 'sunda', 'jalan', 'setiabudhi', 'tuliskan', 'maaf', 'rekanrekan', 'pembaca', 'bingung', 'suka', 'restoran', 'pelayanan', 'restoran', 'terbilang', 'cepat']"
bersyukur,positive,['bersyukur']
"simcard indosat inaktiv gara-gara lupa isi pulsa dan kabar nya aktif jika pinda ke pasca bayar , ribet banget",negative,"['simcard', 'indosat', 'inaktiv', 'garagara', 'lupa', 'isi', 'pulsa', 'kabar', 'aktif', 'pinda', 'pasca', 'bayar', 'ribet', 'banget']"
sifat iri sering muncul pada orang orang yang tidak punya tujuan hidup,negative,"['sifat', 'iri', 'muncul', 'orang-orang', 'orang-orang', 'tidak', 'tujuan', 'hidup']"
"sekadar menceritakan pengalaman saya pesan steak grilled beef 200 tidak disajikanlah steak 200 tidak tersebut dalam 2 potongan 100 tidak - 100 tidak rasanya tidak buruk , namun kualitas daging nya yang membuat saya enggan memesan menu beef lagi khusus nya sirloin karena lemak nya terlalu banyak untuk ukuran steak namun , masih ada menu-menu lain yang sangat menempel di lidah saya sarankan untuk membeli menu berlabel cheese atau . lanjutan",positive,"['menceritakan', 'pengalaman', 'pesan', 'steak', 'grilled', 'beef', 'tidak', 'disajikanlah', 'steak', 'tidak', 'potongan', 'tidak', 'tidak', 'tidak', 'buruk', 'kualitas', 'daging', 'enggan', 'memesan', 'menu', 'beef', 'khusus', 'sirloin', 'lemak', 'ukuran', 'steak', 'menumenu', 'menempel', 'lidah', 'sarankan', 'membeli', 'menu', 'berlabel', 'cheese', 'lanjutan']"
