,label,tweet
0,happy,"['membahagiakan', 'biasku', 'foto', 'elf']"
1,anger,"[ ,  ,  , 'menduduki', 'bangku', 'jabatan', 'rakyat', 'mendengar', 'hasil', 'prestasi', 'menduduki', 'bangku', 'jabatan', 'coba',  , 'abdi', 'rakyat', 'butuh', 'seoran']"
2,fear,"['yaudah', 'berani', 'potong', 'rambut', 'pendek', 'nyaman', 'selamat', 'beristirahat', 'lupa', 'berdoa', 'tidur', 'nyenyak', 'mimpi', 'indah', 'good', 'night', 'cit']"
3,fear,"['semalam', 'rekap', 'eh', 'intinya', 'usahain', 'zero', 'samsek', 'presentasi', 'jam', 'ku', 'grasak', 'grusuk', 'jam', 'jiann']"
4,anger,"['teman', 'turned', 'out', 'being', 'hole', 'cewek', 'ukhti', 'hijrah', 'cowok', 'abdi', 'negara', 'statement', 'ku', 'sosmed', 'menyangkal', 'kek', 'parahnya', 'pacaran', 'bangsat']"
5,sadness,"['terkadang', 'dapati', 'miliki', 'menginginkanya', 'apapun', 'beban', 'tanggung', 'gantleman', 'dialog']"
6,fear,"['tamsil', 'islam', 'nusantara', 'tiang', 'dipancang', 'tergesa', 'gesa', 'kemarin', 'sore', 'pangkalmu', 'dangkal', 'dangkal', 'ditanam', 'engkau', 'takut', 'mati', 'angin', 'semilir', 'segar', 'caci', 'kutuki']"
7,anger,"[ , 'gini', 'pertanyaannya', 'kah', 'mahasiswa', 'umi', 'ruang', 'kuliah', 'tugas', 'kuliah', 'mahasiswa', 'larangan', 'gunanya', 'perkuliahan']"
8,love,"['kamuu', 'special', 'cintanya', 'kalah', 'cinta', 'cinta']"
9,happy,"['kasarnya', 'bilang', 'pakai', 'dengerin', 'musik', 'musiknya', 'shinhwa', 'bikin', 'joget', 'wkwk', 'xd', 'namanya', 'autoreaction', 'xd']"
10,sadness,"[ , 'kelas', 'sd', 'bawa', 'hp', 'hubungin', 'mama', 'dicolong', 'teman', 'diam', 'bodoh', 'bibi', 'kantin', 'ngabarin', 'nyokap', 'mama', 'bapanya', 'maaf', 'eh', 'anaknya', 'pindah', 'sekolah']"
11,love,"[ , 'cinta', 'butuh', 'pengorbanan', 'berkorban', 'cintamu', 'pudar', 'wejangan', 'mbah',  ]"
12,love,"['romantis', 'manis', 'manis', 'dilakuin', 'tg', 'sayang', 'senang', 'berbunga', 'bunga', 'wkwk', 'ribuan', 'kupu', 'kupu', 'terbang', 'dii', 'perut', 'ngeromantisin']"
13,fear,"['ngeri', 'akun', 'gede', 'followers', 'ribuan', 'tuh', 'ngetweet', 'jelek', 'salah', 'hujat', 'takut', 'unfollow', 'please']"
14,sadness,"['bandara',  , 'ambon', 'perbaikan', 'renofasi', 'perkembangan', 'bandara', 'daerah', 'ketinggalan', 'bandara', 'internasional']"
15,love,"['notif', 'facebook', 'tahun', 'video', 'bikin', 'jatuh', 'cinta', 'pandangan', 'an', 'adekgemas', 'fever', 'melanda']"
16,happy,"['barang', 'ku', 'beli', 'hasil', 'flash', 'salenya', 'bukalapak', 'omg', 'harga', 'ratusan', 'ribu', 'sahabat', 'misqin', 'beli', 'kebeli', 'wkwkwkwk', 'flash', 'sale', 'jam', 'sore', 'jam', 'malam', 'jam', 'malam']"
17,love,"['semoga', 'sehat', 'terpenting', 'sayang', 'cinta',  , 'followers', 'kenal', 'keluarga', 'we', 'are', 'family', 'cinta', 'you']"
18,anger,"['si', 'gendut', 'suruh', 'ogah', 'jalan', 'dasar', 'kebo']"
19,fear,"['bingung', 'trauma', 'berkepanjangan', 'sadar', 'merasakan', 'speak', 'up', 'kadang', 'takut', 'dibilang', 'lebay', 'bohong', 'bla', 'bla', 'ngatasin', 'traumanya', 'susah', 'judge', 'mending', 'diam']"
20,anger,"[ ,  , 'maaf', 'kalik', 'beda', 'perspektif', 'mah', 'wajar', 'lebay', 'mah', 'ngapus', 'twit', 'neg', 'bela', 'simic', 'slama', 'vv', 'lapor', 'pulisi', 'bhwa', 'korban', 'pelecehan', 'mah', 'urusan', 'private', 'bdua', 'dm', 'awa']"
21,sadness,"[ , 'iphone', 'plus', 'restart', 'kadang', 'kadang', 'bootloop', 'system', 'dimatikan', 'kadang', 'system', 'bruh']"
22,sadness,"['gila', 'lokasinya', 'selly', 'oal', 'dixy', 'persis', 'pengkolan', 'jalan', 'sayang', 'mas', 'british', 'kaya', 'gini', 'nongkrong', 'dixy', 'perpus']"
23,anger,"['ngurusin', 'neraka', 'bikin', 'hastag', 'sholatlu', 'bolong', 'bolong', 'al', 'qur', 'an', 'mu', 'tersimpan', 'rapi', 'almari', 'uangmu', 'berkurang', 'sedekah', 'pikir']"
24,happy,"['bahagia', 'gimanapun', 'persepsi', 'bahagia', 'bahagiamu', 'beda', 'persepsi', 'bahagia', 'merasakan', 'merasakan', 'bahagia']"
25,anger,"['dprri', 'pemegang', 'amanah', 'rakyat', 'membalikan', 'telapak', 'tangan', 'dewan', 'aturan', 'dewan', 'melanggar', 'aturan', 'segelintir', 'dewan', 'mencoreng', 'amanah', 'rakyat', 'korupsi', 'jls', 'bersalah', 'berkelit', 'menutupi', 'kesalahan', 'bersandiwara']"
26,anger,"['belajar', 'oposisi', 'dimana', 'partai', 'nyinyir', 'provokatif', 'tanda', 'oposisi']"
