,tweet,label
0,"['pagi', 'emosi']",Anger
1,"['stabilitas', 'negara', 'memange', 'tahun', 'negara', 'aman', 'sby', 'subur', 'ormas', 'radikal', 'intoleran', 'teroris', 'afiliasi', 'partai', 'narasi', 'klhtn', 'intelektual', 'bodoh']",Anger
2,"['emosi', 'liat']",Anger
3,"['aib', 'bodoh', 'aib', 'muncul', 'tindak', 'keji', 'sembunyi', 'telaah', 'anak', 'perempuan', 'tempeleng', 'sikap', 'bungkam', 'lapor', 'polisi', 'adl', 'lantas', 'beda']",Anger
4,"['sebal', 'bodoh']",Anger
5,"['asli', 'malu', 'maluin', 'indo', 'tolol', 'rep', 'latah', 'cilukba', 'pakai', 'huruf', 'hijaiyah', 'ngntd', 'ganti', 'huruf', 'pakai', 'salib', 'tiktok', 'filipin', 'fyp', 'repnya', 'ngtd', 'dasar', 'goblogg', 'trend', 'tiktok', 'ter', 'tolol']",Anger
6,"['drama', 'abg', 'tolol']",Anger
7,"['emosi', 'katla', 'kemarin', 'terang', 'gin', 'hasil', 'aci', 'kesal']",Anger
8,"['bangsat', 'tribute', 'no', 'bencana', 'no', 'ngalahin']",Anger
9,"['pergi', 'teriak', 'nang', 'kencang', 'kencang', 'lupa', 'wkwj', 'tolol', 'mustahil']",Anger
10,"['allah', 'marah', 'gimana']",Anger
11,"['silibus', 'kbat', 'gila', 'babi', 'bodoh', 'silibus', 'learning', 'should', 'be', 'fun']",Anger
12,"['pagi', 'pagi', 'dikerjain', 'haha', 'bodoh', 'ladenin', 'lahh', 'liat', 'manaa']",Anger
13,"['angka', 'covid', 'event', 'offlinenya', 'asli', 'bodoh', 'brand']",Anger
14,"['sangar', 'goblokk', 'bin', 'tolol', 'acuh']",Anger
15,"['mas', 'ngelonte', 'mas', 'biar', 'otak', 'seger', 'kafir', 'ngewe', 'lonte', 'ibadah', 'utama', 'tolol', 'banget']",Anger
16,['marah'],Anger
17,"['tolol', 'cinta', 'mimpi', 'kejar', 'kejar', 'setan', 'malam', 'asu', 'bocil', 'iya', 'iya', 'bicara']",Anger
18,"['izinin', 'suami', 'poligami', 'hindar', 'zina', 'lol', 'heh', 'mmngnya', 'nabi', 'poligami', 'gegara', 'keranjang', 'sangean', 'niat', 'zina', 'biar', 'zina', 'dinikahin', 'ngelirik', 'cewek', 'nyebarin', 'ajar', 'agama', 'tolol', 'ajar', 'agama']",Anger
19,"['nyerah', 'joki', 'tugas', 'poem', 'allah', 'bodoh', 'ing']",Anger
20,"['hah', 'kaya', 'dendam', 'bnaget']",Anger
21,"['huahh', 'benci', 'covid', 'moga', 'henti', 'jimin', 'jungkook', 'taehyung', 'no', 'god', 'pliss']",Anger
